"日付","ページ閲覧数","サイトセッション数","ユニーク訪問者数","不達率","平均セッション時間"
"2025/12/5","22","10","10","60%","1m、57s"
"2025/12/4","278","111","99","50%","2m、37s"
"2025/12/3","297","127","111","50%","2m、20s"
"2025/12/2","170","90","78","51%","1m、2s"
"2025/12/1","311","128","114","48%","2m、32s"
"2025/11/30","157","65","56","48%","1m、43s"
"2025/11/29","143","66","58","50%","1m、3s"
"2025/11/28","171","89","81","51%","1m、5s"
"2025/11/27","377","143","126","46%","2m、8s"
"2025/11/26","581","255","240","71%","2m、16s"
"2025/11/25","239","95","80","42%","1m、51s"
"2025/11/24","95","40","39","43%","3m、43s"
"2025/11/23","89","28","26","54%","3m、9s"
"2025/11/22","34","20","18","65%","31s、875ms"
"2025/11/21","234","97","84","45%","1m、50s"
"2025/11/20","204","92","77","52%","1m、52s"
"2025/11/19","270","110","96","55%","2m、6s"
"2025/11/18","262","124","108","52%","1m、30s"
"2025/11/17","499","221","207","43%","1m、50s"
"2025/11/16","253","144","140","56%","1m、36s"
"2025/11/15","58","19","18","42%","6m、29s"
"2025/11/14","225","103","90","44%","1m、48s"
"2025/11/13","300","100","83","44%","3m、45s"
"2025/11/12","212","92","80","51%","1m、58s"
"2025/11/11","291","122","102","51%","2m、40s"
"2025/11/10","177","82","73","57%","1m、36s"
"2025/11/9","75","29","20","45%","4m、1s"
"2025/11/8","71","30","26","40%","2m、13s"
"2025/11/7","251","111","93","50%","1m、59s"
"2025/11/6","327","123","104","48%","3m、1s"
